HIP_number,Name
113288,113288
113368,fomalhaut
113638,113638
113726,113726
113881,scheat
113889,fumalsamakah
113919,113919
113963,markab
114104,114104
114119,114119
114131,114131
114144,114144
114155,114155
114222,114222
114341,114341
114375,114375
114421,114421
114570,114570
114724,114724
114855,114855
114939,114939
114971,114971
114996,114996
115022,115022
115033,115033
115088,115088
115102,115102
115115,115115
115250,salm
115438,115438
115590,115590
115623,alkarab
115669,115669
115738,115738
115830,115830
115919,115919
115990,115990
116231,116231
116247,116247
116310,116310
116389,116389
116584,116584
116602,116602
116631,116631
116727,tadmor
116758,116758
116771,116771
116805,116805
116901,116901
116928,116928
116971,116971
117073,117073
117221,117221
117245,117245
117301,117301
117452,117452
117863,117863
118131,118131
118209,118209
118243,118243
118268,118268
118322,118322
